ID,MAJOR CATEGORY,SUB-CATEGORY,INDIVIDUAL COMMENT,COUNT (1),SUM
497,Disadvantaged not own fault,gear disadvantage,contact sulky,1123,
498,Disadvantaged not own fault,gear disadvantage,dropped whip,806,
499,Disadvantaged not own fault,gear disadvantage,deafeners failed to release,663,
500,Disadvantaged not own fault,gear disadvantage,cast plate,572,
501,Disadvantaged not own fault,gear disadvantage,lost shoe,446,
502,Disadvantaged not own fault,gear disadvantage,shorteners failed to release,360,
503,Disadvantaged not own fault,gear disadvantage,contacted own sulky with hindlegs,306,
504,Disadvantaged not own fault,gear disadvantage,displaced knee boot,283,
505,Disadvantaged not own fault,gear disadvantage,driver disloged,281,
506,Disadvantaged not own fault,gear disadvantage,locked stays,242,
507,Disadvantaged not own fault,gear disadvantage,tongue over bit,237,
508,Disadvantaged not own fault,gear disadvantage,dropped bell boot,214,
509,Disadvantaged not own fault,gear disadvantage,contacted own sulky with hind leg,212,
510,Disadvantaged not own fault,gear disadvantage,trod on shoe,185,
511,Disadvantaged not own fault,gear disadvantage,locked wheels after start,177,
512,Disadvantaged not own fault,gear disadvantage,dropped shin boot,156,
513,Disadvantaged not own fault,gear disadvantage,hopple shorteners failed to release,132,
514,Disadvantaged not own fault,gear disadvantage,damaged wheel,122,
515,Disadvantaged not own fault,gear disadvantage,driver dislodged,99,
516,Disadvantaged not own fault,gear disadvantage,dropped rein,97,
517,Disadvantaged not own fault,gear disadvantage,shortener released prematurely,85,
518,Disadvantaged not own fault,gear disadvantage,hopple shortener failed,79,
519,Disadvantaged not own fault,gear disadvantage,dropped both knee boots,69,
520,Disadvantaged not own fault,gear disadvantage,locked wheels in score up,69,
521,Disadvantaged not own fault,gear disadvantage,tyre fouled wheel,61,
522,Disadvantaged not own fault,gear disadvantage,buckled wheel,55,
523,Disadvantaged not own fault,gear disadvantage,cast shoe,45,
524,Disadvantaged not own fault,gear disadvantage,dropped shin & tendon boot,41,
525,Disadvantaged not own fault,gear disadvantage,sprung shoe,30,
526,Disadvantaged not own fault,gear disadvantage,dropped shin and tendon boot,25,
527,Disadvantaged not own fault,gear disadvantage,flat tyre at 600 metres,22,
528,Disadvantaged not own fault,gear disadvantage,hit knee,22,
529,Disadvantaged not own fault,gear disadvantage,flat tyre at 500 metres,19,
530,Disadvantaged not own fault,gear disadvantage,gear malfunction score up,19,
531,Disadvantaged not own fault,gear disadvantage,dropped boot,15,
532,Disadvantaged not own fault,gear disadvantage,locked wheels score up,14,
533,Disadvantaged not own fault,gear disadvantage,displaced both knee boots,12,
534,Disadvantaged not own fault,gear disadvantage,flat tyre at 200 metres,12,
535,Disadvantaged not own fault,gear disadvantage,flat tyre at 300 metres,12,
536,Disadvantaged not own fault,gear disadvantage,driver inconvenienced,10,
537,Disadvantaged not own fault,gear disadvantage,sprung plate,10,
538,Disadvantaged not own fault,gear disadvantage,flat tyre at 1000 metres,10,
539,Disadvantaged not own fault,gear disadvantage,flat tyre at 1200 metres,9,
540,Disadvantaged not own fault,gear disadvantage,flat tyre wheel fouled,7,
541,Disadvantaged not own fault,gear disadvantage,turned knee boot,5,
542,Disadvantaged not own fault,gear disadvantage,flat tyre at 700 metres,5,
543,Disadvantaged not own fault,gear disadvantage,flat tyre at 900 metres,4,
544,Disadvantaged not own fault,gear disadvantage,flat tyre x 2,4,
545,Disadvantaged not own fault,gear disadvantage,broke gear 2 times in running,2,
546,Disadvantaged not own fault,gear disadvantage,barrier caught sulky,2,
547,Disadvantaged not own fault,gear disadvantage,trailing a wheel,2,
548,Disadvantaged not own fault,gear disadvantage,broke gear in score up,1,
549,Disadvantaged not own fault,gear disadvantage,barrier strands caught sulky,1,
550,Disadvantaged not own fault,gear disadvantage,"bell lap, contacted sulky",1,
551,Disadvantaged not own fault,gear disadvantage,contacted sulky score up,1,
552,Disadvantaged not own fault,gear disadvantage,"bell lap, buckled wheel",1,
553,Disadvantaged not own fault,gear disadvantage,locked wheels score up,14,
554,Disadvantaged not own fault,gear disadvantage,hopple short fail to release,6,
555,Disadvantaged not own fault,gear disadvantage,flat tyre wheel fouled,7,
556,Disadvantaged not own fault,gear disadvantage,flat tyre after start,14,
557,Disadvantaged not own fault,gear disadvantage,trailing a wheel,2,
558,Disadvantaged not own fault,gear disadvantage,"bell lap, buckled wheel",1,
559,Disadvantaged not own fault,gear disadvantage,contacted sulky,17810,
560,Disadvantaged not own fault,gear disadvantage,locked wheels,16223,
561,Disadvantaged not own fault,gear disadvantage,flat tyre,7645,
562,Disadvantaged not own fault,gear disadvantage,broke gear,6010,68129
563,Disadvantaged not own fault,mildly checked  or poor drive,checked after start,3852,
564,Disadvantaged not own fault,mildly checked  or poor drive,checked at start,596,
565,Disadvantaged not own fault,mildly checked  or poor drive,tightened and broke,14,
566,Disadvantaged not own fault,mildly checked  or poor drive,tightened checked and broke,6,
567,Disadvantaged not own fault,mildly checked  or poor drive,raced without cover,211,
568,Disadvantaged not own fault,mildly checked  or poor drive,inconvenienced in score up,122,
569,Disadvantaged not own fault,mildly checked  or poor drive,inconvenienced twice in running,15,
570,Disadvantaged not own fault,mildly checked  or poor drive,tightened and broke,14,
571,Disadvantaged not own fault,mildly checked  or poor drive,inconvenienced twice,13,
572,Disadvantaged not own fault,mildly checked  or poor drive,tightened at start,6,
573,Disadvantaged not own fault,mildly checked  or poor drive,contacted barrier arm,855,
574,Disadvantaged not own fault,mildly checked  or poor drive,driver cautioned lack of judgement,615,
575,Disadvantaged not own fault,mildly checked  or poor drive,quer driving tatics ,578,
576,Disadvantaged not own fault,mildly checked  or poor drive,jostle,569,
577,Disadvantaged not own fault,mildly checked  or poor drive,jostled,482,
578,Disadvantaged not own fault,mildly checked  or poor drive,jostling,317,
579,Disadvantaged not own fault,mildly checked  or poor drive,driver rep contacted marker pegs,142,
580,Disadvantaged not own fault,mildly checked  or poor drive,tightning ,6,
581,Disadvantaged not own fault,mildly checked  or poor drive,checked score-up,324,
582,Disadvantaged not own fault,mildly checked  or poor drive,checked in score-up,43,
583,Disadvantaged not own fault,mildly checked  or poor drive,inconvenienced,35101,
584,Disadvantaged not own fault,mildly checked  or poor drive,three wide without cover at bell,6926,
585,Disadvantaged not own fault,mildly checked  or poor drive,3 wide without cover at bell,5144,55951
586,Disadvantaged not own fault,severely checked  or poor drive,severely checked and broke after start,11,
587,Disadvantaged not own fault,severely checked  or poor drive,choked down,1093,
588,Disadvantaged not own fault,severely checked  or poor drive,lost driver,1047,
589,Disadvantaged not own fault,severely checked  or poor drive,disqualified,414,
590,Disadvantaged not own fault,severely checked  or poor drive,severely checked after start,1081,
591,Disadvantaged not own fault,severely checked  or poor drive,checked and raced roughly,898,
592,Disadvantaged not own fault,severely checked  or poor drive,severely checked & broke,799,
593,Disadvantaged not own fault,severely checked  or poor drive,forced wide,4934,
593,Disadvantaged not own fault,severely checked  or poor drive,unacceptable drive,393,
594,Disadvantaged not own fault,severely checked  or poor drive,severely checked  and broke,122,
595,Disadvantaged not own fault,severely checked  or poor drive,severely checked at start,72,
596,Disadvantaged not own fault,severely checked  or poor drive,checked twice,59,
597,Disadvantaged not own fault,severely checked  or poor drive,tightened checked and broke,6,
598,Disadvantaged not own fault,severely checked  or poor drive,declared non runner,133,
599,Disadvantaged not own fault,severely checked  or poor drive,driver rep unacceptable drive,209,
600,Disadvantaged not own fault,severely checked  or poor drive,checked and broke after start,1251,
601,Disadvantaged not own fault,severely checked  or poor drive,severly checked and broke,37,
602,Disadvantaged not own fault,severely checked  or poor drive,checked and broke in score-up,30,
603,Disadvantaged not own fault,severely checked  or poor drive,checked and raced roughly after start,26,
604,Disadvantaged not own fault,severely checked  or poor drive,severely checked & broke after start,24,
605,Disadvantaged not own fault,severely checked  or poor drive,checked twice in running,17,
606,Disadvantaged not own fault,severely checked  or poor drive,severely checked and broke after start,11,
607,Disadvantaged not own fault,severely checked  or poor drive,severley checked at start,8,
608,Disadvantaged not own fault,severely checked  or poor drive,tightened checked and broke,6,
609,Disadvantaged not own fault,severely checked  or poor drive,euthanased,13,
610,Disadvantaged not own fault,severely checked  or poor drive,severely checked and fell,5,
611,Disadvantaged not own fault,severely checked  or poor drive,severley checked and fell,4,
612,Disadvantaged not own fault,severely checked  or poor drive,checked and broke,10608,
613,Disadvantaged not own fault,severely checked  or poor drive,severely checked,7770,
614,Disadvantaged not own fault,severely checked  or poor drive,checked,25050,56131
615,Disadvantaged not own fault,held up,held up for clear run,2912,
616,Disadvantaged not own fault,held up,held up late,2313,
617,Disadvantaged not own fault,held up,held up for clear run early,1682,
618,Disadvantaged not own fault,held up,held up vital stage,548,
619,Disadvantaged not own fault,held up,"bell lap, held up",1,
620,Disadvantaged not own fault,held up,"bell lap, held up early",1,
621,Disadvantaged not own fault,held up,"bell lap, held up for clear run",1,
622,Disadvantaged not own fault,held up,no clear run,3176,
623,Disadvantaged not own fault,held up,no clear run vital stage,1053,
624,Disadvantaged not own fault,held up,held up for clear run late,158,
625,Disadvantaged not own fault,held up,no clear run vital stages,123,
626,Disadvantaged not own fault,held up,held up early,15884,
627,Disadvantaged not own fault,held up,held up,11948,39800
628,Movement during race,Forward,obtained inside run,3374,
629,Movement during race,Forward,utilised sprint lane,545,
630,Movement during race,Forward,forward with cover,430,
631,Movement during race,Forward,worked forward middle ,383,
632,Movement during race,Forward,new track record,292,
633,Movement during race,Forward,worked forward early,230,
634,Movement during race,Forward,worked forward from the start,962,
635,Movement during race,Forward,more forward,162,
636,Movement during race,Forward,track record,10,
637,Movement during race,Forward,worked forward,35247,41635
638,Movement during race,Not forward,beaten for speed,375,
639,Movement during race,Not forward,less forward,144,
640,Movement during race,Not forward,further back,1856,
641,Movement during race,Not forward,surrendered lead early,8692,
642,Movement during race,Not forward,slowly out,7673,
643,Movement during race,Not forward,surrendered lead middle,6208,24948
644,Movement during race,Gave Ground,tired badly,8020,
645,Movement during race,Gave Ground,tire,4099,
646,Movement during race,Gave Ground,tire badly,3501,
647,Movement during race,Gave Ground,tired over concluding stages,59,
648,Movement during race,Gave Ground,gave ground,3390,
649,Movement during race,Gave Ground,gave ground from 500 metres,596,
650,Movement during race,Gave Ground,gave ground from 600 metres,519,
651,Movement during race,Gave Ground,gave ground from 300 metres,197,
652,Movement during race,Gave Ground,gave ground from 700 metres,139,
653,Movement during race,Gave Ground,gave ground from 900 metres,24,
654,Movement during race,Gave Ground,gave ground from 1000 metres,23,
655,Movement during race,Gave Ground,gave ground from 1200 metres,14,
656,Movement during race,Gave Ground,gave ground from the 400 metres,4,
657,Movement during race,Gave Ground,gave ground in concluding stages,9058,
658,Movement during race,Gave Ground,gave ground over concluding stages,8177,
659,Movement during race,Gave Ground,tired latter stages,15314,
660,Movement during race,Gave Ground,tired,12477,65611
661,Distance to finish  width and PIR,Bell and 800 leader,leader at the bell,2085,
662,Distance to finish  width and PIR,Bell and 800 leader,"800m, leader",3313,
663,Distance to finish  width and PIR,Bell and 800 leader,leader at bell,24828,
664,Distance to finish  width and PIR,Bell and 800 leader,"bell lap, leader",12822,43048
665,Distance to finish  width and PIR,Bell and 800 fence behind leader,behind leader at the bell,3458,
666,Distance to finish  width and PIR,Bell and 800 fence behind leader,"bell lap, behind leader at bell",2928,
667,Distance to finish  width and PIR,Bell and 800 fence behind leader,4th fence at bell,4975,
668,Distance to finish  width and PIR,Bell and 800 fence behind leader,"800m, behind leader",3780,
669,Distance to finish  width and PIR,Bell and 800 fence behind leader,behind leader at bell,27187,
670,Distance to finish  width and PIR,Bell and 800 fence behind leader,"bell lap, behind leader",13206,
671,Distance to finish  width and PIR,Bell and 800 fence behind leader,3rd fence at bell,5811,61345
672,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,3 back pegs at bell,3717,
673,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,3 back inside at bell,2898,
674,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,"bell lap, 3 back pegs at bell",2588,
675,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,5th fence at bell,2538,
676,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,6th fence at bell,688,
677,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,4 back pegs at bell,3717,
678,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,4 back inside at bell,2583,
679,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,"bell lap, 4 back pegs at bell",2763,
680,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,4 back on pegs at bell,2607,
681,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,7th fence at bell,180,
682,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,8th fence at bell,50,
683,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,"800m, 3 back on pegs",3491,
684,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,"800m, 4 back on the pegs",3443,
685,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,3 back on pegs at bell,14468,
686,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,"bell lap, 3 back on pegs",11828,
687,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,"bell lap, 4 back on the pegs",11428,
688,Distance to finish  width and PIR,Bell and 800 fence and 3 or 4 back,4 back on the pegs at bell,10291,79278
689,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,5 back on pegs at bell,4209,
690,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,"bell lap, 5 back on pegs at bell",2039,
691,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,5 back inside at bell,1653,
692,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,"bell lap, 6 back on the pegs",2201,
693,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,6 back on the pegs at bell,2097,
694,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,6 back on pegs at bell,1992,
695,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,"bell lap, 6 back on pegs at bell",844,
696,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,6 back inside at bell,701,
697,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,"800m, 5 back on the pegs",2690,
698,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,"800m, 6 back on the pegs",1466,
699,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,"bell lap, 5 back on the pegs",7463,
700,Distance to finish  width and PIR,Bell and 800 fence and 5 or 6 back,5 back on the pegs at bell,6210,33565
701,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, 7 back on the pegs",635,
702,Distance to finish  width and PIR,Bell and 800 fence and long way back,7 back on pegs at bell,633,
703,Distance to finish  width and PIR,Bell and 800 fence and long way back,7 back on the pegs at bell,409,
704,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, 7 back on pegs at bell",177,
705,Distance to finish  width and PIR,Bell and 800 fence and long way back,7 back inside at bell,170,
706,Distance to finish  width and PIR,Bell and 800 fence and long way back,8 back inside at bell,38,
707,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, 8 back on the pegs",254,
708,Distance to finish  width and PIR,Bell and 800 fence and long way back,8 back on pegs at bell,151,
709,Distance to finish  width and PIR,Bell and 800 fence and long way back,8 back on the pegs at bell,78,
710,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, 9 back on the pegs",55,
711,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, 8 back on pegs at bell",22,
712,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, tailed off",3643,
713,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, tailed off at bell",1205,
714,Distance to finish  width and PIR,Bell and 800 fence and long way back,"bell lap, last",12,
715,Distance to finish  width and PIR,Bell and 800 fence and long way back,"800m, 7 back on the pegs",729,
716,Distance to finish  width and PIR,Bell and 800 fence and long way back,"800m, 8 back on the pegs",360,
717,Distance to finish  width and PIR,Bell and 800 fence and long way back,"800m, 9 back on the pegs",149,
718,Distance to finish  width and PIR,Bell and 800 fence and long way back,tailed off at bell,10477,
719,Distance to finish  width and PIR,Bell and 800 fence and long way back,trailed field,7792,26989
720,Distance to finish  width and PIR,Bell and 800 and outside leader,"bell lap, outside leader at bell",4728,
721,Distance to finish  width and PIR,Bell and 800 and outside leader,"bell lap, bell lap, outside leader at bell",2,
722,Distance to finish  width and PIR,Bell and 800 and outside leader,"800m, outside leader",3869,
723,Distance to finish  width and PIR,Bell and 800 and outside leader,outside leader at bell,31884,
724,Distance to finish  width and PIR,Bell and 800 and outside leader,outside leader,12909,
725,Distance to finish  width and PIR,Bell and 800 and outside leader,"bell lap, outside leader",17132,
726,Distance to finish  width and PIR,Bell and 800 and outside leader,death seat at bell,10591,
727,Distance to finish  width and PIR,Bell and 800 and outside leader,outside leader throughout,10572,91687
728,Distance to finish  width and PIR,Bell and 800 and one out and 1 back,"bell lap, 1 out 1 back at bell",4090,
729,Distance to finish  width and PIR,Bell and 800 and one out and 1 back,"bell lap, bell lap, 1 out 1 back",3,
730,Distance to finish  width and PIR,Bell and 800 and one out and 1 back,"800m, 1 out 1 back",3499,
731,Distance to finish  width and PIR,Bell and 800 and one out and 1 back,"bell lap, 1 out 1 back",12857,
732,Distance to finish  width and PIR,Bell and 800 and one out and 1 back,1 out 1 back at bell,30497,50946
733,Distance to finish  width and PIR,Bell and 800 and one out and 2 back,"bell lap, 1 out 2 back at bell",3267,
734,Distance to finish  width and PIR,Bell and 800 and one out and 2 back,"bell lap, bell lap, 1 out 2 back",6,
735,Distance to finish  width and PIR,Bell and 800 and one out and 2 back,"bell lap, bell lap, 1 out 2 back at bell",3,
736,Distance to finish  width and PIR,Bell and 800 and one out and 2 back,"800m, 1 out 2 back",3597,
737,Distance to finish  width and PIR,Bell and 800 and one out and 2 back,"bell lap, 1 out 2 back",11363,
738,Distance to finish  width and PIR,Bell and 800 and one out and 2 back,1 out 2 back at bell,25148,43384
739,Distance to finish  width and PIR,Bell and 800 and one out and 3 back,"bell lap, 1 out 3 back at bell",2791,
740,Distance to finish  width and PIR,Bell and 800 and one out and 3 back,"bell lap, bell lap, 1 out 3 back",3,
741,Distance to finish  width and PIR,Bell and 800 and one out and 3 back,"800m, bell lap, 1 out 3 back",2,
742,Distance to finish  width and PIR,Bell and 800 and one out and 3 back,"800m, 1 out 3 back",3444,
743,Distance to finish  width and PIR,Bell and 800 and one out and 3 back,"bell lap, 1 out 3 back",10036,
744,Distance to finish  width and PIR,Bell and 800 and one out and 3 back,1 out 3 back at bell,21765,38041
745,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 4 back at bell",1578,
746,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, bell lap, 1 out 4 back",3,
747,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 5 back at bell",618,
748,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, bell lap, 1 out 5 back",2,
749,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 6 back at bell,2244,
750,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 6 back",367,
751,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 6 back at bell",148,
752,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 7 back at bell,431,
753,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 7 back",66,
754,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 7 back at bell",15,
755,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 7 back on pegs at bell,4,
756,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 8 back at bell,20,
757,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 9 back at bell,2,
758,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"800m, 1 out 4 back",2629,
759,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"800m, 1 out 5 back",1300,
760,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"800m, 1 out 6 back",481,
761,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"800m, 1 out 7 back",154,
762,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,"bell lap, 1 out 4 back",6306,
763,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 4 back at bell,15330,
764,Distance to finish  width and PIR,Bell and 800 and one out and greater than 3 back,1 out 5 back at bell,7471,39169
765,Distance to finish  width and PIR,Bell and 800 and 3 wide and outside leader,"bell lap, three wide without cover",7319,
766,Distance to finish  width and PIR,Bell and 800 and 3 wide and outside leader,1st horse 3 wide at bell,4977,
767,Distance to finish  width and PIR,Bell and 800 and 3 wide and outside leader,"bell lap, 3 wide without cover at bell",3518,
768,Distance to finish  width and PIR,Bell and 800 and 3 wide and outside leader,leader 3 wideline at bell,2045,
769,Distance to finish  width and PIR,Bell and 800 and 3 wide and outside leader,three wide without cover at bell,6926,
770,Distance to finish  width and PIR,Bell and 800 and 3 wide and outside leader,3 wide without cover at bell,5144,29929
771,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,3 wide and 1 back at bell,4325,
772,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,"bell lap, 3 wide and 1 back",3046,
773,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,2nd horse 3 wide at bell,2528,
774,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,"bell lap, 3 wide and 1 back at bell",2483,
775,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,3 wide 1 back at bell,1103,
776,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,3 out 1 back at bell,1370,
777,Distance to finish  width and PIR,Bell and 800 and 3 wide and 1 back,"800m, 3 wide and 1 back",210,15065
778,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide and 2 back at bell,1651,
779,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"bell lap, 3 wide and 2 back at bell",1326,
780,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide 2 back at bell,465,
781,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle stages,3787,
782,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle with trail,3609,
783,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle & late,2955,
784,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle & late with trail,2728,
785,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide early & middle,1765,
786,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,raced wide middle stqges,1051,
787,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle stages with trail,678,
788,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,4 wide middle,450,
789,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide early middle with trail,320,
790,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,4 wide middle stages,177,
791,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,four wide middle stages,133,
792,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide early and middle stages,126,
793,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle and latter stages,40,
794,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,caught wide middle,24,
795,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle/latter stages with trail,9,
796,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"bell lap, three wide middle",4,
797,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide early and middle stage with trail,2,
798,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,4 wide middle and late,2,
799,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"bell lap, 3 wide middle & late",1,
800,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,forced wide middle stages,1,
801,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 out 2 back at bell,785,
802,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 out 3 back at bell,248,
803,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3rd horse 3 wide at bell,1326,
804,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide and 3 back at bell,400,
805,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"bell lap, 3 wide and 3 back at bell",292,
806,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"bell lap, 3 wide 3 back",159,
807,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide 3 back at bell,70,
808,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"800m, 3 wide 3 back",232,
809,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,"800m, 3 wide and 2 back",184,
810,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,3 wide middle,20467,
811,Distance to finish  width and PIR,Bell and 800 and 3 wide and 2 or 3 back,three wide middle,14154,59621
812,Distance to finish  width and PIR,400 fence and up close,"400m, leader",3353,
813,Distance to finish  width and PIR,400 fence and up close,"400m, behind leader",3079,
814,Distance to finish  width and PIR,400 fence and up close,"400m, 3 back on pegs",2777,9209
815,Distance to finish  width and PIR,400 one out and up close,"400m, outside leader",4026,
816,Distance to finish  width and PIR,400 one out and up close,"400m, 1 out 1 back",2707,
817,Distance to finish  width and PIR,400 one out and up close,"400m, 1 out 2 back",2658,
818,Distance to finish  width and PIR,400 one out and up close,"400m, 1 out 3 back",2306,11697
819,Distance to finish  width and PIR,400 neutral,"400m, 3 wide 3 back",1367,
820,Distance to finish  width and PIR,400 neutral,"400m, 3 wide and 2 back",1343,
821,Distance to finish  width and PIR,400 neutral,"400m, 3 wide and 1 back",1047,
822,Distance to finish  width and PIR,400 neutral,"400m, 4 wide and 2 back",674,
823,Distance to finish  width and PIR,400 neutral,"400m, 1 out 4 back",1698,
824,Distance to finish  width and PIR,400 neutral,"400m, 1 out 5 back",796,
825,Distance to finish  width and PIR,400 neutral,3 wide late with trail,20949,
826,Distance to finish  width and PIR,400 neutral,3 wide latter,9488,
827,Distance to finish  width and PIR,400 neutral,3 wide late,10609,
828,Distance to finish  width and PIR,400 neutral,3 wide latter stages,5940,53911
829,Distance to finish  width and PIR,400 disadvantaged,"400m, 4 back on the pegs",2739,
830,Distance to finish  width and PIR,400 disadvantaged,"400m, 5 back on the pegs",2150,
831,Distance to finish  width and PIR,400 disadvantaged,"400m, 6 back on the pegs",1228,
832,Distance to finish  width and PIR,400 disadvantaged,"400m, 7 back on the pegs",646,
833,Distance to finish  width and PIR,400 disadvantaged,"400m, 8 back on the pegs",312,
834,Distance to finish  width and PIR,400 disadvantaged,"400m, 9 back on the pegs",109,
835,Distance to finish  width and PIR,400 disadvantaged,"400m, 1 out 6 back",307,
836,Distance to finish  width and PIR,400 disadvantaged,"400m, 1 out 7 back",136,
837,Distance to finish  width and PIR,400 disadvantaged,"400m, 3 wide and 4 back",917,
838,Distance to finish  width and PIR,400 disadvantaged,"400m, 3 wide and 5 back",366,
839,Distance to finish  width and PIR,400 disadvantaged,"400m, 5 wide",214,
