word,count
trainer rep fined,2
warning issued - racing manners,1
shifted ground after start,24
grass event,147
inconvenienced twice,13
level 1,926
"800m,",2
"400m, 1 ou",1
driver fined $500,22
"800m, 400m, 1 out 4 back",1
cardiac arrhythmia 3rd time ,1
level 4,308
"800m, 5 wide and 3 back",2
level 5,114
"800m, 400m, outside leader",1
level 6,28
level 7,8
turned knee boot,5
qualified stewards trial,6
less forward,144
mares level 1,169
mares level 2,88
more forward,162
nbtt5,12
last chance standing starts,70
vets,2
veered in at start,10
no more than 4 lifetime wins,243
nw2000l4 nbt c2,218
"400m, 3 back on p",1
"400m, 800m, last",1
1 out 6 back,3
stood down pending electrocardio,1
no more than 1 win this season,201
not won $40000 lifetime,527
"400m, outside lea",1
"400m, 6",1
raced greenly after start,86
driver fine $600,3
stood down pending electrocardi,2
"bell lap, 4 back on t",1
8,1
walk up start,185
"800m, 400m, last",2
paced after start,207
"800m, 4 back on ",1
nsw state bred eligible only,468
nw1000l4 nbt c2,236
nw1500l4 nbt c2,217
no better than c1,922
nw10000l4 ae m1,73
nw10000l4 ae m1/m2,41
nw10000l4 nbt c2,8
nw10000l4 nbt c3,31
nw10000l4 nbt c4,9
nw10000l4 nbt c5,20
nw10000l4 nbt c6,9
nw10000l4 nbt c7,20
nw10000l4 nbt m0,20
nw10000l4 nbt m2,22
nw10000l4 nbt m3,7
nw10000l4 nbt m5,11
nw10000l4 nbt m8,10
nw10000l4,222
paced score up,13
nw1000l4,95
nw1000l4 nbt c1,431
nw1000l4 nbt c3,36
nw1000l4 nbt c4,18
nw1000l4 nbt r1,102
nw1000l4 nbt r2,96
nw1000l4 nbt r3,27
nw1020l4 nbt c3,10
nw10500l4 nbt c4,10
nw10500l4,17
nw1050l4 nbt c0,9
nw1050l4 nbt c1,10
nw1050l4 nbt c2,9
nw1080l4 nbt c1,17
nw11000l4 nbt m0,10
nw11000l4,10
nw1100l4 nbt c1,43
nw1100l4 nbt c3,30
nw1100l4,18
nw11500l4 nbt m4,10
nw1150l4 nbt r2,10
nw12000l4  ae m1,58
nw12000l4 nbt c4,10
nw12000l4,38
no better than c8,53
nw1200l4 nbt c1,95
nw1200l4 nbt c3,45
nw1200l4 nbt c4,10
nw1200l4 nbt r1,18
nw1200l4 nbt r2,8
nw1200l4 nbt r3,10
nw1200l4 nmt2ltw,5
nw1200l4,18
nw12500l4 nbt c7,8
nw12500l4 nbt m2,10
nw1250l4 nbt c1,9
nw1250l4 nbt c2,9
nw1250l4 nbt r1,9
nw1250l4,14
nw1300l4 nbt c1,51
frivolous protest,5
nw1300l4 nbt c2,15
nw1300l4 nbt c3,26
nw1300l4 nbt c4,12
nw1300l4 nmt2ltw,6
driver rep whip,7
nw1300l4,26
nw13500l4,11
nw1350l4,19
nw1400l4 mbt c2,8
nw1400l4 nbt c1,25
nw1400l4 nbt c4,20
nw1400l4 nbt r1,20
nw1400l4 nbt r3,7
nw1400l4,16
nw15000 nbt c7,7
nw15000l4 ae m1,10
nw15000l4 ae m1/m2,57
nw15000l4,41
nw15000lt,20
nw1500l4 nbt c0,12
nw1500l4 nbt c3,121
nw1500l4 nbt c4,70
nw1500l4 nbt c5,10
nw1500l4 nbt c6,10
nw1500l4 nbt r1,76
nw1500l4 nbt r2,18
nw1500l4 nbt r4,11
nw1500l4,68
nw1500l5 nbt c2,36
nw1500l5,25
nw1550l4 nbt c1,10
nw1550l4 nbt c3,15
nw1550l4 nbt r2,10
nw1550l4 nbt r3,8
nw16000l4,26
nw1600l4 nbt c1,51
nw1600l4 nbt c3,10
nw1600l4 nbt r1,9
nw1600l4,8
nw1650l4 nbt c1,35
nw1700l4 nbt c1,34
nw1700l4 nbt c2,18
nw1700l4 nbt r1,19
nw1750l4 nbt c1,26
nw1750l4 nbt r2,11
nw1750l4 nbt r4,9
nw1750l4,21
nw1800l4 nbt c1,26
nw1800l4 nbt c3,30
nw1800l4 nbt r3,9
nw1850l4 nbt c1,8
nw1850l4,8
nw1900l4 nbt c2,10
nw20000l4 ae m1/m2,26
nw20000l4,25
nw2000l4 nbt c0,43
nw2000l4 nbt c1,209
nw2000l4 nbt c3,130
nw2000l4 nbt c4,31
nw2000l4 nbt c5,12
nw2000l4 nbt m0,16
nw2000l4 nbt m1,10
nw2000l4 nbt r1,82
nw2000l4 nbt r2,51
nw2000l4 nbt r3,19
nw2000l4,116
nw2000l5 nbt c5,26
nw2050l4 nbt c4,9
nw2050l4 nbt r2,6
nw2100l4 nbt c1,26
nw2100l4 nbt c2,10
nw2100l4 nbt c3,17
raced erratically during the score-up,92
nw2100l4 nbt c4,18
nw2100l4 nbt r1,10
nw2100l4 nmt3ltw,6
nw2100l4,24
nw2100l5 nbt r3,10
nw2150l4,8
nw22000l4 ae m1,23
nw22000l4,9
nw2200l4 nbt c1,18
nw2200l4 nbt c2 ,10
nw2200l4 nbt c4,9
nw2200l4 nbt c7,7
nw2250l4 nbt c3,7
nw2300l4 nbt c3,7
nw2400l4 nbt c2,8
nw25000l4,18
nw2500l3 nbt tr3,6
nw2500l4 nbt c1,71
trainer fined $500,3
nw2500l4 nbt c12,8
nw2500l4 nbt c2,71
nw2500l4 nbt c3,16
nw2500l4 nbt c4,20
nw2500l4 nbt c5,19
nw2500l4 nbt c7,11
nw2500l4 nbt c8,8
nw2500l4 nbt c9,12
nw2500l4 nbt m1,26
nw2500l4 nbt r1,25
nw2500l4 nbt r4,10
nw2500l4,58
nw2600l4 nbt c2,9
nw2600l4 nbt c3,9
nw2600l4 nbt c5,9
nw2600l4 nbt r1,8
nw2600l4 nbt r2,20
nw2600l4,7
nw2650l4 nbt c1,10
nw2700l4 nbt c2,16
nw2700l4 nbt c3,12
nw2800l4 nbt c1,10
nw30000l4 nbt m3,10
nw30000lt,10
nw3000l4 nbt c0,12
nw3000l4 nbt c1,35
nw3000l4 nbt c2,71
nw3000l4 nbt c3,70
nw3000l4 nbt c4,24
nw3000l4 nbt c5,8
nw3000l4 nbt m1,44
nw3000l4 nbt m2,12
nw3000l4 nbt r1,16
nw3000l4 nbt r3,18
nw3000l4 nbt tr3,7
nw3000l4,53
nw3100l4 nbt c8,8
nw3300l4 nbt c1,8
nw3300l4 nbt r2,9
nw3300l4,10
nw3400l4 nbt c1,29
nw3400l4 nbt c2,8
nw3500l4 nbt c0,21
nw3500l4 nbt c1,120
nw3500l4 nbt c2,61
nw3500l4 nbt c3,60
nw3500l4 nbt c4,43
nw3500l4 nbt c5 ,20
nw3500l4 nbt c6,10
nw3500l4 nbt m1,8
nw3500l4 nbt m2,9
nw3500l4 nbt r1,16
nw3500l4 nbt r4,18
nw3500l4 nbt t3,10
nw3500l4 nbt t4,13
nw3500l4 nbt tr3,33
nw3500l4 nbt tr4,7
nw3500l4,108
nw3500l5,8
nw3550l4 nbt c2,6
nw3600l4 nbt c4,10
nw3700l4 nbt c0,10
nw3700l4 nbt c1,12
nw3700l4,8
driver rep talking,31
nw3750l4 nbt r1,7
nw3800l4 nbt c2,9
nw4000l4,92
nw4000l4 nbt c1,99
nw4000l4 nbt c2,57
nw4000l4 nbt c3,55
nw4000l4 nbt c4,30
nw4000l4 nbt c5,22
nw4000l4 nbt c6,9
nw4000l4 nbt c9,18
nw4000l4 nbt m0,21
nw4000l4 nbt m1,33
nw4000l4 nbt m2,9
"400m, last",5
nw4000l4 nbt r1,26
nw4000l4 nbt r2,26
nw4000l4 nbt r3,31
nw4000l4 nbt r4,8
nw4000l4 nbt r8,7
nw4000l6 nbt c2,20
nw4100l4 nbt c1,9
nw4100l4 nbt c2,8
nw4100l4,9
nw4200l4 nbt c1,7
nw4200l4 nbt c2,26
nw4200l4 nbt c3,7
nw4200l4,16
nw4250l4 nbt m2,10
nw4300l4 nbt c5,8
nw4300l4 nbt r1,9
nw4300l4,6
nw4400l4 nbt c4,9
nw4500l4 nbt c1,28
nw4500l4 nbt c2,39
nw4500l4 nbt c3,44
nw4500l4 nbt c4,87
nw4500l4 nbt c5,10
nw4500l4 nbt c6,7
nw4500l4 nbt c7,8
nw4500l4 nbt c9,20
nw4500l4 nbt m0,11
nw4500l4 nbt m1,37
nw4500l4 nbt m2,9
nw4500l4 nbt r3,15
nw4500l4 nbt r4,10
no better than m0,1020
nw4500l4,69
nw450l4 nbt c1,8
nw4600l4 nbt c1,8
nw4600l4 nbt c2,8
nw4600l4 nbt c4,10
nw4600l4 nbt c6,10
nw4600l4 nbt m0,8
nw4600l4,9
nw4700l4 nbt r1,8
nw4900l4,11
nw5000 lifetime,6
nw5000l3,34
nw5000l4,223
nw5000l4 ae m1,69
nw5000l4 nbt c0,10
nw5000l4 nbt c1,293
nw5000l4 nbt c10,19
nw5000l4 nbt c3,167
nw5000l4 nbt c4,379
nw5000l4 nbt c5,46
nw5000l4 nbt c6,24
nw5000l4 nbt c9,10
nw5000l4 nbt r1,26
nw5000l4 nbt r2,9
nw5000l4 nbt r4,33
no better than m2,243
nw500l4 nbt c1,59
nw500l4 nbt c2,164
nw500l4 nbt r1,7
nw5050l4 nbt c2,8
nw5100l4 nbt c1,6
nw5100l4 nbt c3,10
nw5100l4 nbt c4,12
nw5200l4 nbt c2,18
nw5200l4 nbt c3,10
nw5200l4 nbt c4,10
nw5200l4 nbt r1,9
nw5200l4 nbt r3,6
nw5300l4 nbt c2,9
nw5500 nbt c1,63
nw5500l4 nbt c0,10
nw5500l4 nbt c10,7
nw5500l4 nbt c2,50
nw5500l4 nbt c3,64
nw5500l4 nbt c4,35
nw5500l4 nbt c5,35
nw5500l4 nbt c6,15
nw5500l4 nbt c7,16
nw5500l4 nbt m0,9
nw5500l4 nbt m1,50
nw5500l4 nbt m2,8
nw5500l4 nbt m3,16
nw5500l4 nbt m5,10
nw5500l4 nbt r1,21
nw5500l4 nbt r5,20
nw5500l4 nbt t4,11
nw5500l4,86
nw550l4 nbt c1,9
nw5600l4 nbt c1,8
nw5700l4 nbt c3,9
nw6000l4 ae m1,120
nw6000l4 nbt c1,10
nw6000l4 nbt c2,21
nw6000l4 nbt c3,26
nw6000l4 nbt c4,25
nw6000l4 nbt m2,8
nw6000l4 nbt m3,10
nw6000l4 nbt r2,8
nw6000l4 nbt r3,11
nw6000l4,105
nw6000l4 nbt c5,10
nw600l4 nbt c1,18
nw600l4 nbt c2,17
nw600l4 nbt r1,15
nw600l4 nbt r2,10
nw600l4 nmt3ltw,6
nw6100l4,7
nw6200l4 nbt c4,9
nw6200l4,10
nw6250l4,10
nw6300l4 nbt c5,8
nw6500l4 nbt c1,10
nw6500l4 nbt c4,16
nw6500l4 nbt m1,47
nw6500l4 nbt m3,20
nw6500l4 nbt r3,13
nw6500l4,90
nw650l4 nbt c1,15
nw6600l4 nbt c4,10
nw6700l4,6
nw6900l4 nbt c2,8
nw7000l4 nbt c2,31
nw7000l4 nbt c4,10
nw7000l4 nbt c5,8
nw7000l4 nbt c6,10
nw7000l4 nbt m1,18
nw7000l4 nbt m3,18
nw7000l4,44
nw700l4 nbt c1,10
nw700l4 nbt r1,55
nw700l4,16
nw7200l4 nbt c4,7
nw720l4 nbt r1,10
nw7500l4 ae m1,37
nw7500l4 nbt c1,9
nw7500l4 nbt c2,12
nw7500l4 nbt c4,10
nw7500l4 nbt c5,11
nw7500l4 nbt c6,9
nw7500l4 nbt c7,8
nw7500l4 nbt m0,10
nw7500l4 nbt m4,7
nw7500l4,55
nw750l4 nbt c2,18
nw750l4 nbt c4,8
nw800034 nbt c3,9
nw8000l4,62
nw8000l4 nbt c1,10
nw8000l4 nbt c2,27
nw8000l4 nbt c5,18
nw8000l4 nbt c6,7
nw8000l4 nbt m1,31
nw8000l4 nbt m3,9
nw8000l4 nbt m5,11
nw800l4 nbt c1,10
nw800l4 nbt c2,12
nw800l4 nbt c3,10
nw800l4 nbt c4,10
nw800l4 nbt r3,10
nw800l4,9
nw8200l4 nbt c8,7
nw8500l4 nbt c2,16
nw8500l4 nbt c5,8
nw8500l4 nbt m0,11
nw8500l4 nbt m1,10
nw8500l4,31
nw850l4 nbt c1,18
nw850l4 nbt c2,16
nw850l4 nbt r1,16
nw850l4 nbt r2,7
nw850l4 nbt r3,12
nw850l4,9
nw9000l4,15
nw900l4 nbt c1,38
nw900l4 nbt c3,10
nw900l4 nbt r1,23
nw9500l4,23
nwmt 3 career penalty races,28
no pattern established,84
no better than m3,75
paced roughly at start,17
not won career penalty event,277
not qualified from trial,396
outside time standards,3
qualify mobile start,4
qualified standing starts,22
jibbed score up,63
not won in last 4 starts,168
not won more than $50000,9
odm from rodm,2
one deafener failed to release,5
3 out 5 back at bell,1
explanation n,1
took charge of driver,1
penalty exempt,178
driver suspended 2 weeks,13
stood down 1 tri,7
explanatio,1
no signif,1
"800m, 800m, 1 out 1 back",1
lost rider,2
trainer fined $400,3
sires stakes race,1512
qualified,1
qualified from mobile start,36
stood down 6 months,1
stood down r183(a) pending inquiry,3
driver suspended 6 months,3
r0,10
race rerun,16
race stopped & rerun,77
"bell lap, 3 wide middle & late",1
slow away,15
raced fiercely scoring up,5
adjou,1
reared in score up,3
satisfactory rodm trial,1
satisfactory stewards trial,4
shied when barrier strand released,1
slowly away ,5
swung sideways score up,6
t0/t1,19
trot nsw eligibile,38
paced and broke in score up,15
trainer cautioned head number,12
stood down 10 day,1
improper,10
trainer fined present with wrong number,1
driver replaced,1
delayed start gear adjustment,1
withstood challenge  for lead,223
shout loudly,11
driver fined hock contact or vicinity ,1
severley checked at start,8
"800m, bell lap, 1 out 3 back",2
barefoot behind,2
driver cautioned contacting barrier tape,12
barrier caught sulky,2
barrier strands caught legs,4
began awkwardly,66
stood down standing starts plus one tria,1
shifted out at start,79
hung out score up,333
stood down 14 days and two trials,10
vets examination after rac,1
driver suspended 16 days,3
unfair advantage,4
hit marker peg,7
driver suspended 24 days,2
requalified mobile,26
unsuccessfully swabbed,4
failed,11
"bell lap, 3 wide latter stages",3
7 back on the pegs,2
"bell lap, surrendered lead early",1
driver repfail to restrain sufficiently,1
"bell lap, bell lap, 1 out 1 back",3
"bell lap, bell lap, behind leader",2
"bell lap, broke in score up",1
"bell lap, checked and broke",1
"bell lap, claimed",1
"bell lap, galloped out",1
"bell lap, gave ground",2
"bell lap, held up early",1
"bell lap, hung in",3
"bell lap, inconvenienced",2
promoted in placings,3
"bell lap, pre race blood test",1
"bell lap, pulled hard",1
"bell lap, raced greenly",1
"bell lap, three wide",6
"bell lap, used sprint lane",1
bled 3rd time,1
11 back pegs at bell,2
lost 2 shoes during race,8
stood down 3 standing start trials,1
stood down 6 days and 2 trials,4
$500,4
stood down mobile starts 2 trials,38
"1600m, 9 back on the pegs",1
driver suspended 20 days,1
vets examination afte,3
continue right outside draw mobiles,46
continue right outside draw stands,53
stood down standing starts 2 trials,48
stood down day meetings,6
pins released prematurely,5
stood down 2 trials stand starts,6
"800m, distanced",6
s,3
"800m, t",1
broke gear in score up,1
raced fiercely score-up,201
query dri,1
broke in score up twice,3
last chance mobile starts,26
scratched at barrier,6
condition report,1
"bell lap,",1
last chance to race competitive,1
driver rep noise,8
explanation no,1
no action,1
paced and broke in score-up,145
failed to score up,9
displaced both knee boots,12
800,1
fol,1
restrained to position middle,18
trainer fined $40,2
rodm requested,1
stood down mobile starts,7
no abnormalities report,2
no abnorma,2
no,2
driver cautioned lack of judgemen,1
driver suspended 12 weeks,19
paced in score up,131
raced fiercely in score up,34
"2400m, 5 back on the pegs",1
"2400m, 1 out 2 back",1
ran on strongly,1
trainer reprimanded late driver change,2
stood down 7 days and veterinary cert,2
stood down 28 days and two trials,2
stood down 6 weeks,3
fractious in score up,684
no signific,1
trainer representative fined,3
stood down ele,2
stood down pending electrocardiograp,1
barrier strands caught sulky,1
la,3
change of tactics forward with cover,11
change of tactics further back,384
driver cautioned inside marker pegs,1
driver cautioned lack of ,1
change of tactics futher forward,29
change of tactics hold lead,113
change of tactics less aggressivel,41
change of tactics less aggressively,139
change of tactics more aggressive,39
last chance to race comp,2
change of tactics surrender lead,6
driver rep looking around,9
checked & broke score up,1
"bell lap, trailed field",1
driver cautioned evidence,6
relegated after protest,13
checked in score-up,43
query poor performa,1
"800m, 400m, leader",2
r,1
driver reprimanded shifting ground,5
contacted barrier tape,12
trainer cautioned rule 273(3),2
contacted rail,2
contacted sulky score up,1
d,1
"800m, 400m, three wide without cover",2
race stopped declared no-race,7
enter sprint lane,5
"bell lap, buckled wheel",1
"bell lap, bell lap, behind leader at bell",4
reared before start,36
started extreme outside line,42
driver cautioned disobey stewards orders,7
raced erratically after start,33
driver cautioned whip,7
fail to be in position by candy pole,1
no abn,1
"2400m, 4 back on the pegs",1
driver rep not on course by appointed ti,3
driver rep out of position candy pole,2
driver rep sprint lane,16
driver reprimanded tightening,2
driver fined $350,1
trainer suspended 6 months,1
fell after start,2
five wide early,20
flat tyre after start,14
flat tyre at 1400 metres,7
four wide,15
driver susp,1
no abnormal,1
driver,1
quer dri,1
driver fined slow sectionals,10
worked fo,1
last cha,2
stood down mobile starts plus two trials,1
rods requested,1
gear change,2
right out of draw trainers request,2
veterinary examination aged horse,209
"1600m, trailed field",1
flat tyre at 1500 metres,1
out of draw trainers request,2
"bell lap, retired",1
flat tyre at 350 metres,1
"800m, 800m, tailed off",1
shifted out after the start,6
severley checked and fell,4
trainer rep late in parade ring,5
1 out 7 back on pegs at bell,4
u,1
driver reprimanded talking,5
stood down pending elec,2
queried performa,1
stood down electrocardiogr,2
successfully challenged for the lead,19
driver cautioned whip out of conten,1
stood down ecg plus one trial,7
inquiry adjourne,1
quer driving tacti,1
driver s,1
"800m, bell lap, behind leader",1
"bell lap, led",1
"bell lap, satisfactory trial",1
in season,3
per,1
hopple short fail to release,6
driver suspended 23 days,4
vets examination aged horse,459
protest lodged against 5th dismissed,2
driver cautioned crossing,2
endoscopic examination,3
"bell lap, raced roughly",1
"bell lap, tired",2
stood down endoscopic examination,4
driver fined $2000,2
eased pace,3
follow up,2
flat tyre x 2,4
jumped barrier,1
stood down ve,1
lost ground,1
stood down vet ,2
"bell lap, held up for clear run",1
broke gear 2 times in running,2
gave ground from 1500 metres,2
stood down vet c,1
driver re,1
swabbe,1
restrained to position early,85
performed po,1
"1600m, bell lap, leader",1
"bell lap, bell lap, leader at bell",1
"bell lap, raced roughly under pressure",1
stood down endoscopic,12
driver cautioned unacceptable drive,2
"bell lap, 2400m",1
no more than,1
surrendered lead late,5
"bell lap, query improved performance",1
stood down 12 days and 2 trials,1
"bell lap, run queried",1
sprint lane,3
unacce,1
vet exam deceased ,1
driver cautioned slow pace,2
driver rep language,1
stood down eleven days,1
caution failure to notify change tactics,4
driver rep crossing,1
trainer rep incorrect gear,1
stood down 1 ,5
stood down vet cer,1
4 weeks,1
driver cautioned failure to weign-in,1
tr caution fail to notify change tactics,5
flat tyre at 1300 metres,2
cross reins not activating gear,1
follow up repor,2
"1600m, bell lap, behind leader",4
"bell lap, hung out",1
driver suspended five weeks,1
stood down menangle park,1
inquiry f,1
driver suspended unacceptable drive,1
driver suspended 26 days,2
"obtained trail 1900m, 1 out 1 back at bell",1
gave ground from 700 mtrs,1
driver reprimanded leave track early,1
driver fined looking around,1
driver suspended 3 months,1
"400m, 5 back on the pe",1
stood down vet certific,2
run quer,1
trainer rep failing to notify driver not,3
shifted in after the start,10
withstood prot,1
driver suspended 25 days,4
flat tyre at 1600 metres,2
driver caution,1
stood,2
inqui,1
mudguard fouled tyre,4
driver suspended causing interfer,1
stood d,3
unacceptable dr,1
improper noise,1
driver rep body outside confines of sul,1
last chance to race competitiv,1
pulled ,1
stood down heart ultrasound ,1
paced and broke score up,1
"bell lap, bell lap, 3 back on pegs",2
"bell lap, 4 bac",1
vets examination af,1
driver cautioned lack of j,2
no abnormaliti,1
locked wheels score up,14
2400m,1
"bell lap, leader at bel",1
stood down pending electroca,1
queried performan,1
no abnormalities ,1
driver cautioned lac,1
no abnormalit,2
no act,1
"800m, 800m, 1 out 2 back",1
stood down 2 tria,1
vets examin,1
3 wide and 5 back at bell,1
stood down electrocard,1
"2400m, behind leader",1
$750,2
"1600m, 3 wide early stages",1
qualifying trials,2
jumped shadow score-up,5
stood down 56 days,6
"400m, distanced",2
driver fined start before signal,2
driver fined excessively slow pace,1
trainer req right out of draw stand,3
"bell lap, 1 out ",1
moving start,18
not won this season,27
not won more than 2 c penalty races,359
no better than c2,1461
not won last 6 starts,88
no better than c3,744
no better than c4,344
"1600m, led",1
no better than c5,104
no better than c6,99
no better than c7,44
no better than m1,798
no better than m4,18
no better than m5,25
no better than r0,12
no better than r1,85
no better than r2,147
no better than r3,141
no better than r6,12
no better than t3,7
no better than t4,98
no more than 1 win last season,85
no more than 2 wins this season,6
no more than 3 lifetime wins,244
query d,2
i,1
query dr,1
not won $15000 lifetime,38
not won $2000 last 5 starts,7
not won $3000 last 5 starts,45
not won $50000 lifetime,49
not won a metro penalty event in last 6,11
not won last 3 starts,16
not won last 5 starts,42
not won last 8 starts,6
lost shoe & broke,1
shifted out under pr,1
3 wide and 4 back a,1
broke ten times in running,1
driver fined $1500,2
stood down electroca,1
"bell lap, bell lap, 6 back on the pegs",1
pre meeting swab ,57
"1600m, 3 wide 3 back",2
vets exami,1
"400m, tail",2
$700,1
$760,1
stood down vet certif,2
"800m, 400m, 3 wide and 2 back",2
"bell lap, 1 o",1
no abnormalities repor,1
5 wide and 3 back,1
"800m, 400m, tailed off",1
"bell lap, ta",1
no a,1
driver rep lack of judgem,1
"400m, retired",1
"bell lap, broke",1
"800m, 3 back on pe",1
"800m, 1 out",1
late in parade ring,5
qu,1
whip outside confines of sulky,2
"400m, 400m",1
vets examination after ,1
"400m, 6 back on the p",1
que,1
400,1
driver suspended ,1
"bell lap, raced fiercely",1
post race sample ,1
3 wide and 4 back,1
"400m, 4 wide and 1 back",1
stood down vet cert,1
"400m, 1 out 3 bac",1
"400m, 5 back on ",1
"800m, 400m, 1 out 2 back",1
l,3
"400m, 1 out 1 b",1
"1600m, inconvenienced",1
"800m, th",1
6 wide at bell,1
time trial,5
quer driving ta,1
last chance to race tr,1
driver suspend,1
driver suspe,1
out of draw mob,1
"bell lap, 5 wide at bell",2
last chance to race compet,1
gave ground over concl,1
driver cautioned lack of judgeme,1
stood down 2,1
endoscop,1
vets examination,1
"bell lap, bell lap, 3 wide and 2 back at bell",1
vets examina,1
forced wide middle stages,1
follo,1
vets examination aft,2
last chance to r,1
driver suspen,1
unac,1
no si,1
e,1
unacceptable,1
driver su,1
out of position at ,1
ca,1
passed fit to start,3
vets examination ,1
no sign,1
"bell lap, fell",1
query driving tactic,1
query performa,1
"400m, t",2
last chance to race compe,1
"1600m, 2400m, bell lap, behind leader",1
"bell lap, bell lap, 5 back on pegs at bell",2
re-qualified,1
stood down night meetings,1
trrepfail to notify change tactics,2
3 wide 4 back at bell,1
"bell lap, gave ground in concluding stages",1
back in mobil,1
"1600m, bell lap, three wide without cover",1
stood down pending electrocardiog,1
4 wide and 2 back at bell,2
4 wide and 2 back,2
"800m, 400m, 5 back on the pegs",1
"800m, 400m, swabbed",1
"400m, warning issued",1
"bell lap, bell lap, 1 out 5 back at bell",1
"bell lap, held up",1
"bell lap, 1 out 3 ba",1
"400m, 9 back on the ",1
8 back on the pegs,1
stood down v,1
"bell lap, contacted sulky",1
40,1
"400m, 3 wide a",1
stood down 14 ,1
"bell lap, shifted out under pressure",1
"bell lap, 6 back on ",1
"400m, 8 back on ",1
"400m, 4 back on ",1
stood down 1 trial and two weeks,1
2 weeks,1
vets examination a,1
vets examination after r,1
equalled track record,1
"bell lap, stood down vet certificate",1
driver rep dropped hands,1
driver momentarily dislodged,1
severely checked and broke after start,11
"bell lap, vets examination after race",1
shied score up,1
shifted ground score up,1
no abnormalities repo,1
shifted out score up,1
last chance t,1
trailing a wheel,2
1 out 1 back ,1
"2400m, 3 back on pegs",1
started before signal,1
two flat tyres,1
flat tyre at 1700 metres,1
flat tyre at 1800 metres,1
swung side ways score up,3
stood down metro meetings,1
"1600m, 3 wide and 4 back",1
"bell lap, outsid",1
incompetent driving,1
tightened at start,6
"bell lap, 5 back on the peg",1
"2400m, 1 out 1 back",1
took charge in prelim,1
run queri,1
ve,1
last chance to race t,1
trainer fined $20,1
trainer rep late mounting yard,3
unplaced last 6 starts,9
dr,1
driver suspended 5 months,1
stood down 1 tr,2
veterinary c,1
driver suspended 14 ,1
quer d,1
times six,1
trainer cautioned no ra,1
condition r,1
warnin,1
vets examinat,1
stood down 14 da,1
driver fined $750,1
